v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   752.000000                       0.001214          0.000263
   753.000000                       0.001230          0.000266
   754.000000                       0.001248          0.000270
   755.000000                       0.001268          0.000274
   756.000000                       0.001292          0.000279
   757.000000                       0.001319          0.000285
   758.000000                       0.001350          0.000292
   759.000000                       0.001386          0.000300
   760.000000                       0.001425          0.000308
   761.000000                       0.001470          0.000318
   762.000000                       0.001520          0.000329
   763.000000                       0.001577          0.000341
   764.000000                       0.001641          0.000355
   765.000000                       0.001713          0.000371
   766.000000                       0.001795          0.000388
   767.000000                       0.001888          0.000408
   768.000000                       0.001994          0.000431
   769.000000                       0.002115          0.000457
   770.000000                       0.002253          0.000487
   771.000000                       0.002413          0.000522
   772.000000                       0.002598          0.000562
   773.000000                       0.002813          0.000608
   774.000000                       0.003066          0.000663
   775.000000                       0.003364          0.000728
   776.000000                       0.003721          0.000805
   777.000000                       0.004150          0.000898
   778.000000                       0.004673          0.001011
   779.000000                       0.005318          0.001150
   780.000000                       0.006127          0.001325
   781.000000                       0.007157          0.001548
   782.000000                       0.008497          0.001838
   783.000000                       0.010282          0.002224
   784.000000                       0.012727          0.002753
   785.000000                       0.016197          0.003503
   786.000000                       0.021331          0.004614
   787.000000                       0.029338          0.006346
   788.000000                       0.042664          0.009228
   789.000000                       0.066622          0.014410
   790.000000                       0.112973          0.024435
   791.000000                       0.199887          0.043234
   792.000000                       0.286731          0.062017
   793.000000                       0.231732          0.050121
   794.000000                       0.133665          0.028910
   795.000000                       0.077115          0.016679
   796.000000                       0.048209          0.010427
   797.000000                       0.032504          0.007030
   798.000000                       0.023266          0.005032
   799.000000                       0.017444          0.003773
   800.000000                       0.013563          0.002934
   801.000000                       0.010856          0.002348
   802.000000                       0.008897          0.001924
   803.000000                       0.007436          0.001608
   804.000000                       0.006319          0.001367
   805.000000                       0.005445          0.001178
   806.000000                       0.004749          0.001027
   807.000000                       0.004186          0.000905
   808.000000                       0.003724          0.000805
   809.000000                       0.003340          0.000722
   810.000000                       0.003018          0.000653
   811.000000                       0.002745          0.000594
   812.000000                       0.002511          0.000543
   813.000000                       0.002310          0.000500
   814.000000                       0.002135          0.000462
   815.000000                       0.001982          0.000429
   816.000000                       0.001847          0.000400
   817.000000                       0.001729          0.000374
   818.000000                       0.001623          0.000351
   819.000000                       0.001529          0.000331
   820.000000                       0.001444          0.000312
   821.000000                       0.001368          0.000296
   822.000000                       0.001299          0.000281
   823.000000                       0.001237          0.000268
   824.000000                       0.001180          0.000255
   825.000000                       0.001129          0.000244
   826.000000                       0.001081          0.000234
