v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   825.000000                       0.001129          0.000244
   826.000000                       0.001081          0.000234
   827.000000                       0.001038          0.000224
   828.000000                       0.000998          0.000216
   829.000000                       0.000961          0.000208
   830.000000                       0.000927          0.000200
   831.000000                       0.000895          0.000194
   832.000000                       0.000866          0.000187
   833.000000                       0.000838          0.000181
   834.000000                       0.000813          0.000176
   835.000000                       0.000789          0.000171
   836.000000                       0.000767          0.000166
   837.000000                       0.000746          0.000161
   838.000000                       0.000726          0.000157
   839.000000                       0.000708          0.000153
   840.000000                       0.000691          0.000149
   841.000000                       0.000674          0.000146
   842.000000                       0.000659          0.000142
   843.000000                       0.000644          0.000139
   844.000000                       0.000630          0.000136
   845.000000                       0.000617          0.000134
   846.000000                       0.000605          0.000131
   847.000000                       0.000593          0.000128
   848.000000                       0.000582          0.000126
   849.000000                       0.000572          0.000124
   850.000000                       0.000561          0.000121
   851.000000                       0.000552          0.000119
   852.000000                       0.000543          0.000117
   853.000000                       0.000534          0.000115
   854.000000                       0.000526          0.000114
   855.000000                       0.000518          0.000112
   856.000000                       0.000510          0.000110
   857.000000                       0.000503          0.000109
   858.000000                       0.000496          0.000107
   859.000000                       0.000489          0.000106
   860.000000                       0.000482          0.000104
   861.000000                       0.000476          0.000103
   862.000000                       0.000470          0.000102
   863.000000                       0.000465          0.000101
   864.000000                       0.000459          0.000099
   865.000000                       0.000454          0.000098
   866.000000                       0.000449          0.000097
   867.000000                       0.000444          0.000096
   868.000000                       0.000439          0.000095
   869.000000                       0.000435          0.000094
   870.000000                       0.000431          0.000093
   871.000000                       0.000426          0.000092
   872.000000                       0.000422          0.000091
   873.000000                       0.000419          0.000091
   874.000000                       0.000415          0.000090
   875.000000                       0.000411          0.000089
   876.000000                       0.000408          0.000088
   877.000000                       0.000404          0.000087
   878.000000                       0.000401          0.000087
   879.000000                       0.000398          0.000086
   880.000000                       0.000395          0.000085
   881.000000                       0.000392          0.000085
   882.000000                       0.000389          0.000084
   883.000000                       0.000387          0.000084
   884.000000                       0.000384          0.000083
   885.000000                       0.000381          0.000082
   886.000000                       0.000379          0.000082
   887.000000                       0.000377          0.000081
   888.000000                       0.000374          0.000081
   889.000000                       0.000372          0.000080
