v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   542.000000                       0.003775          0.000817
   543.000000                       0.003695          0.000799
   544.000000                       0.003617          0.000782
   545.000000                       0.003541          0.000766
   546.000000                       0.003468          0.000750
   547.000000                       0.003398          0.000735
   548.000000                       0.003330          0.000720
   549.000000                       0.003264          0.000706
   550.000000                       0.003200          0.000692
   551.000000                       0.003138          0.000679
   552.000000                       0.003078          0.000666
   553.000000                       0.003020          0.000653
   554.000000                       0.002963          0.000641
   555.000000                       0.002909          0.000629
   556.000000                       0.002856          0.000618
   557.000000                       0.002804          0.000607
   558.000000                       0.002755          0.000596
   559.000000                       0.002706          0.000585
   560.000000                       0.002659          0.000575
   561.000000                       0.002614          0.000565
   562.000000                       0.002569          0.000556
   563.000000                       0.002526          0.000547
   564.000000                       0.002485          0.000538
   565.000000                       0.002444          0.000529
   566.000000                       0.002404          0.000520
   567.000000                       0.002366          0.000512
   568.000000                       0.002329          0.000504
   569.000000                       0.002293          0.000496
   570.000000                       0.002257          0.000488
   571.000000                       0.002223          0.000481
   572.000000                       0.002190          0.000474
   573.000000                       0.002157          0.000467
   574.000000                       0.002126          0.000460
   575.000000                       0.002095          0.000453
   576.000000                       0.002065          0.000447
   577.000000                       0.002036          0.000440
   578.000000                       0.002007          0.000434
   579.000000                       0.001980          0.000428
   580.000000                       0.001953          0.000423
   581.000000                       0.001927          0.000417
   582.000000                       0.001902          0.000411
   583.000000                       0.001877          0.000406
   584.000000                       0.001853          0.000401
   585.000000                       0.001829          0.000396
   586.000000                       0.001806          0.000391
   587.000000                       0.001784          0.000386
   588.000000                       0.001763          0.000381
   589.000000                       0.001742          0.000377
   590.000000                       0.001721          0.000372
   591.000000                       0.001701          0.000368
   592.000000                       0.001682          0.000364
   593.000000                       0.001663          0.000360
   594.000000                       0.001645          0.000356
   595.000000                       0.001627          0.000352
   596.000000                       0.001610          0.000348
   597.000000                       0.001593          0.000345
   598.000000                       0.001577          0.000341
   599.000000                       0.001561          0.000338
   600.000000                       0.001546          0.000334
   601.000000                       0.001531          0.000331
   602.000000                       0.001517          0.000328
   603.000000                       0.001503          0.000325
   604.000000                       0.001489          0.000322
   605.000000                       0.001476          0.000319
   606.000000                       0.001464          0.000317
   607.000000                       0.001451          0.000314
   608.000000                       0.001440          0.000311
   609.000000                       0.001429          0.000309
   610.000000                       0.001418          0.000307
   611.000000                       0.001407          0.000304
   612.000000                       0.001397          0.000302
   613.000000                       0.001388          0.000300
   614.000000                       0.001379          0.000298
   615.000000                       0.001370          0.000296
   616.000000                       0.001362          0.000295
   617.000000                       0.001355          0.000293
   618.000000                       0.001347          0.000291
   619.000000                       0.001341          0.000290
   620.000000                       0.001334          0.000289
   621.000000                       0.001328          0.000287
   622.000000                       0.001323          0.000286
   623.000000                       0.001318          0.000285
   624.000000                       0.001314          0.000284
   625.000000                       0.001310          0.000283
   626.000000                       0.001307          0.000283
   627.000000                       0.001304          0.000282
   628.000000                       0.001302          0.000282
   629.000000                       0.001301          0.000281
   630.000000                       0.001300          0.000281
   631.000000                       0.001299          0.000281
   632.000000                       0.001300          0.000281
   633.000000                       0.001301          0.000281
   634.000000                       0.001303          0.000282
   635.000000                       0.001305          0.000282
   636.000000                       0.001309          0.000283
   637.000000                       0.001313          0.000284
   638.000000                       0.001318          0.000285
   639.000000                       0.001324          0.000286
   640.000000                       0.001331          0.000288
   641.000000                       0.001339          0.000290
   642.000000                       0.001349          0.000292
   643.000000                       0.001359          0.000294
   644.000000                       0.001371          0.000297
   645.000000                       0.001384          0.000300
   646.000000                       0.001399          0.000303
   647.000000                       0.001416          0.000306
   648.000000                       0.001434          0.000310
   649.000000                       0.001454          0.000315
   650.000000                       0.001476          0.000319
   651.000000                       0.001501          0.000325
   652.000000                       0.001528          0.000331
   653.000000                       0.001558          0.000337
   654.000000                       0.001591          0.000344
   655.000000                       0.001627          0.000352
   656.000000                       0.001667          0.000361
   657.000000                       0.001711          0.000370
   658.000000                       0.001760          0.000381
   659.000000                       0.001814          0.000392
   660.000000                       0.001873          0.000405
   661.000000                       0.001940          0.000420
   662.000000                       0.002013          0.000436
   663.000000                       0.002095          0.000453
   664.000000                       0.002187          0.000473
   665.000000                       0.002290          0.000495
   666.000000                       0.002405          0.000520
   667.000000                       0.002535          0.000549
   668.000000                       0.002683          0.000580
   669.000000                       0.002851          0.000617
